id_pais,anio,inmigrantes,emigrantes
SVK,1960,2638.0,1.0
SVN,1960,7143.0,1.0
SLB,1960,0.0,1.0
SOM,1960,2.0,0.0
ZAF,1960,90.0,422.0
ESP,1960,753707.0,12334.0
LKA,1960,2.0,0.0
KNA,1960,0.0,0.0
LCA,1960,15.0,2.0
VCT,1960,2.0,0.0
SDN,1960,3.0,0.0
SUR,1960,32.0,415.0
SWZ,1960,0.0,6.0
SWE,1960,77.0,268.0
CHE,1960,242.0,408.0
SYR,1960,23609.0,0.0
TWN,1960,551.0,0.0
TJK,1960,5.0,0.0
TZA,1960,5.0,5.0
THA,1960,9.0,18.0
TLS,1960,0.0,0.0
TGO,1960,3.0,48.0
TKL,1960,0.0,0.0
TON,1960,13.0,0.0
TTO,1960,87.0,50.0
TUN,1960,21.0,5.0
TUR,1960,11985.0,128.0
TKM,1960,7.0,0.0
TCA,1960,0.0,0.0
TUV,1960,0.0,0.0
UGA,1960,3.0,0.0
UKR,1960,14440.0,0.0
ARE,1960,2.0,0.0
GBR,1960,7069.0,5672.0
USA,1960,7932.0,17591.0
URY,1960,56568.0,27775.0
UZB,1960,50.0,0.0
VUT,1960,8.0,1.0
VEN,1960,662.0,4240.0
VNM,1960,10.0,0.0
VIR,1960,0.0,0.0
VGB,1960,0.0,0.0
WLF,1960,0.0,0.0
PSE,1960,75.0,61.0
YEM,1960,4.0,31.0
ZMB,1960,2.0,0.0
ZWE,1960,5.0,53.0
AFG,1970,9.0,0.0
ALB,1970,23.0,0.0
DZA,1970,34.0,1.0
ASM,1970,0.0,0.0
AND,1970,4.0,24.0
AGO,1970,382.0,2.0
AIA,1970,0.0,0.0
ATG,1970,0.0,4.0
ARM,1970,857.0,0.0
ABW,1970,2.0,8.0
AUS,1970,112.0,434.0
AUT,1970,14824.0,46.0
AZE,1970,14.0,0.0
BHS,1970,0.0,25.0
BHR,1970,2.0,0.0
BGD,1970,2.0,0.0
BRB,1970,4.0,20.0
BLR,1970,31.0,0.0
BEL,1970,961.0,420.0
BLZ,1970,5.0,7.0
BEN,1970,0.0,4.0
BMU,1970,0.0,3.0
BTN,1970,0.0,0.0
BOL,1970,102092.0,9976.0
BIH,1970,192.0,2.0
BWA,1970,0.0,0.0
BRA,1970,45225.0,17026.0
BRN,1970,0.0,0.0
BGR,1970,296.0,10.0
BFA,1970,1.0,0.0
BDI,1970,0.0,1.0
KHM,1970,4.0,4.0
CMR,1970,3.0,7.0
CAN,1970,81.0,2421.0
CPV,1970,2.0,5.0
CYM,1970,0.0,0.0
CAF,1970,0.0,0.0
TCD,1970,1.0,1.0
CHI,1970,0.0,0.0
CHL,1970,163943.0,12739.0
CHN,1970,5143.0,8.0
COL,1970,5267.0,1418.0
COM,1970,0.0,0.0
COD,1970,8.0,45.0
COG,1970,3.0,0.0
COK,1970,0.0,0.0
CRI,1970,30.0,203.0
CIV,1970,3.0,11.0
HRV,1970,10132.0,0.0
CUB,1970,157.0,360.0
CYP,1970,11.0,26.0
CZE,1970,9257.0,4.0
DNK,1970,296.0,868.0
DJI,1970,0.0,0.0
DMA,1970,2.0,1.0
DOM,1970,138.0,809.0
ECU,1970,346.0,1004.0
EGY,1970,471.0,22.0
SLV,1970,19.0,118.0
GNQ,1970,0.0,0.0
ERI,1970,2.0,0.0
EST,1970,150.0,0.0
ETH,1970,4.0,0.0
FRO,1970,0.0,5.0
FLK,1970,3.0,2.0
FJI,1970,0.0,12.0
FIN,1970,123.0,98.0
FRA,1970,15896.0,1067.0
GUF,1970,9.0,10.0
PYF,1970,2.0,4.0
GAB,1970,0.0,0.0
GMB,1970,0.0,0.0
GEO,1970,20.0,0.0
DEU,1970,36446.0,1767.0
GHA,1970,3.0,0.0
GIB,1970,2.0,5.0
GRC,1970,2590.0,66.0
GRL,1970,0.0,1.0
GRD,1970,5.0,1.0
GLP,1970,12.0,2.0
GUM,1970,0.0,40.0
GTM,1970,12.0,267.0
GIN,1970,0.0,3.0
GNB,1970,0.0,0.0
GUY,1970,45.0,205.0
HTI,1970,17.0,4.0
HND,1970,11.0,31.0
HKG,1970,36.0,0.0
HUN,1970,2828.0,225.0
ISL,1970,6.0,0.0
IND,1970,306.0,10.0
IDN,1970,27.0,15.0
IRN,1970,89.0,0.0
IRQ,1970,13.0,19.0
IRL,1970,109.0,60.0
IMN,1970,0.0,0.0
ISR,1970,1103.0,1315.0
ITA,1970,687552.0,17211.0
JAM,1970,3.0,3.0
JPN,1970,7500.0,78.0
JOR,1970,176.0,3.0
KAZ,1970,204.0,0.0
KEN,1970,3.0,0.0
KIR,1970,0.0,0.0
PRK,1970,752.0,0.0
KOR,1970,2411.0,0.0
XKX,1970,0.0,0.0
KWT,1970,6.0,5.0
KGZ,1970,3.0,0.0
LAO,1970,57.0,0.0
LVA,1970,379.0,0.0
LBN,1970,9002.0,8.0
LSO,1970,0.0,14.0
LBR,1970,2.0,7.0
LBY,1970,21.0,0.0
LIE,1970,9.0,2.0
LTU,1970,5325.0,0.0
LUX,1970,16.0,7.0
MAC,1970,3.0,0.0
MKD,1970,1365.0,3.0
MDG,1970,5.0,0.0
MWI,1970,0.0,0.0
MYS,1970,7.0,2.0
MDV,1970,0.0,0.0
MLI,1970,4.0,0.0
MLT,1970,5.0,0.0
MHL,1970,0.0,0.0
MTQ,1970,40.0,4.0
MRT,1970,0.0,0.0
MUS,1970,0.0,3.0
MYT,1970,0.0,0.0
MEX,1970,152.0,1638.0
FSM,1970,0.0,9.0
MDA,1970,25.0,0.0
MCO,1970,3.0,21.0
MNG,1970,0.0,0.0
MNE,1970,0.0,0.0
MSR,1970,0.0,0.0
MAR,1970,232.0,1.0
MOZ,1970,86.0,3.0
MMR,1970,3.0,28.0
NAM,1970,0.0,15.0
NRU,1970,1.0,5.0
NPL,1970,1.0,0.0
NLD,1970,1801.0,226.0
ANT,1970,8.0,27.0
NCL,1970,0.0,6.0
NZL,1970,14.0,145.0
NIC,1970,31.0,118.0
NER,1970,0.0,46.0
NGA,1970,11.0,145.0
