id_sede,nombre
EEARB,"Sección Económica, Comercial y de Inversiones / Oficina Comercial en Dubai"
EEARB,Sección Política
EEARB,Sección Consular
EECUA,Sección Económica y Comercial
EECUA,Sección Educación y Cooperación
EECUA,Sección Consular
EECUA,Sección Política
EECUA,Sección Cultural
EECUA,Sección Prensa
EECUA,Agregaduria Militar
EECUA,Administración y Logística
EEEUU,Sección Cultural y de Diplomacia Pública
EEEUU,Sección Económica y Comercial
EEEUU,Agregaduria Aeronautica
EEEUU,Sección Administrativa y Recursos Humanos
EEEUU,Sección Política
EEEUU,Jefe de Cancillería
EEEUU,Consejería Agrícola
EEEUU,Sección Consular
EEEUU,Prensa
EEEUU,Agregaduria Naval
EEEUU,Agregaduria Militar
EEGIP,Agregaduría Militar
EEGIP,Sección Cultural
EEGIP,Sección Administrativa
EEGIP,Sección Comercial
EEGIP,Sección Consular
EEGIP,Sección Política
EESPA,"Sección Política, Prensa y Comunicación"
EESPA,Representante Ministerio de Desarrollo Productivo
EESPA,Sección Administrativa y Recursos Humanos
EESPA,Jefe de Misión Adjunto
EESPA,"Sección Cultura, Educación y Protocolo"
EESPA,Sección Política y Cooperación Jurídica
EESPA,Sección Económica - Comercial
EETIO,Sección Consular
EETIO,Sección Económica y Comercial
EETIO,Sección Cultural
EETIO,Sección Política
EFILI,Mauricio Germán Muñoz
EFILI,Josefina Marcela Gallo Morando
EFILI,Ana Clara Pianezza
EFILI,Andrea Silvina Repetti
EFINL,Sección Consular
EFINL,Sección Comercial y de Inversiones
EFRAN,Sección Cultural
EFRAN,Sección Administrativa
EFRAN,Oficina Turismo
EFRAN,Sección Cooperación Internacional
EFRAN,"Sección Política, Asuntos Juridicos y Derechos Humanos"
EFRAN,Jefe de Cancillería
EFRAN,Sección Organismos Internacionales Económicos
EFRAN,Sección Consular
EFRAN,"Sección Económica, Comercial, Promoción e Inversiones"
EFRUS,"Sección de Cultura, Turismo y Cooperación Deportiva"
EFRUS,Sección Consular
EFRUS,Sección Administrativa y Logística
EFRUS,Sección Concurrencias
EFRUS,Agregaduría Agrícola
EFRUS,Asuntos Estratégicos
EFRUS,Sección Económica y Comercial
EFRUS,Jefe de Cancillería
EFRUS,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EFRUS,"Sección Energía, Ciencia y Tecnología"
EFRUS,Sección Malvinas Antártida y Atlántico Sur
EFRUS,Sección Política
EFRUS,Sección de Prensa y Difusión
EGREC,Sección Económica y Comercial
EGREC,Sección Consular
EGREC,Sección Cultural
EGREC,Sección Administrativa
EGUAT,Sección Económica y Comercial
EGUAT,Sección Consular
EGUAT,Agregada Administrativa
EHAIT,Cooperación Internacional
EHAIT,Sección Económica y Comercial
EHAIT,Sección Consular
EHAIT,Sección de Prensa
EHAIT,Sección Cultural
EHAIT,Administración
EHAIT,Sección Política
EHILE,Sección Prensa
EHILE,Sección Administrativa
EHILE,Secretaría Privada
EHILE,Agregaduría de Gendarmería Nacional
EHILE,Sección Jurídica
EHILE,Agregaduría de Defensa y Aeronáutica
EHILE,Agregaduria Aeronáutica
EHILE,Agregaduría Naval
EHILE,Sección Económica y Comercial
EHILE,Residencia Oficial
EHILE,Sección Cultural
EHILE,Sección Política
EHILE,Agregaduria Militar
EHILE,Jefe de Cancillería
EHOND,Sección Consular
EHOND,Sección Encargado Cancillería
EHOND,Sección Comercial
EHOND,Sección administrativa
EINDI,Sección Agrícola
EINDI,Sección Económica y Comercial
EINDI,Jefe de Cancilleria
EINDI,Sección Política
EIRAN,Sección Consular
EIRLA,Sección Consular
EIRLA,Sección Cultural
EIRLA,Sección Política
EIRLA,Sección Económica y Comercial
EISIA,Agregado Administrativo
EISIA,Sección Cultural
EISIA,Sección Consular
EISIA,Sección Política
EISIA,Sección Económica y Comercial
EISRA,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EISRA,Sección Económico-Comercial y de Cooperación
EISRA,Sección Política y Cultural
EITAL,"Sección Cultural, Educación, Ciencia y Tecnología"
EITAL,"Sección de Diplomacia Pública, Comunicación y Prensa"
EITAL,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EITAL,Sección de Promoción Comercial y Turismo
EITAL,Jefe de Cancillería
EITAL,Sección de Cooperación Internacional
EITAL,Sección Política
EITAL,"Oficina de Derechos Humanos, Géneros y Diversidad"
EITAL,Sección Administrativa
EITAL,Sección Económica y Promoción de Inversiones
EJAMA,Sección Económica y Comercial
EJAMA,Sección Cultural
EJAMA,Sección Consular
EJAPO,Sección Consular
EJAPO,Cooperación
EJAPO,Sección Económica - Comercial
EJAPO,Sección Cultural
EJAPO,Administrativa
EJAPO,Política
EKENY,Administración
EKENY,Cultural
EKENY,Asuntos Multilaterales (PNUMA-ONU Hábitat)
EKENY,Consular
EKENY,Económica - Comercial
EKENY,Política y Cooperación
EKUWA,Sección Económica y Comercial
EKUWA,Sección Consular
EKUWA,Sección Administrativa
EKUWA,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EKUWA,Sección Cultural
ELBIA,Sección Consular
ELBIA,Sección Económica Comercial
ELBNO,Sección Económica - Comercial e Inversiones
ELBNO,Sección Política
ELBNO,Sección Cultural
ELBNO,Sección Administrativa Contable
ELBNO,Sección Consular
EMARR,Sección Cultural
EMARR,Sección Política
EMARR,Sección Administrativa
EMARR,Sección Económica y Comercial
EMARR,Sección Consular
EMEXI,Jefe de Misión
EMEXI,Sección Política
EMEXI,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EMEXI,"Secciones Cooperación, Educación, Turismo y Belice"
EMEXI,Negociaciones Económicas Bilaterales
EMEXI,Sección de Prensa
EMEXI,Sección Administrativa y Recursos Humanos
EMEXI,Sección Cultural
EMEXI,Sección Comercial
EMOZA,Sección de Administración y Finanzas
EMOZA,Sección de Prensa y Difusión
EMOZA,Sección Consular
EMOZA,Sección Política
EMOZA,Sección Económica y Comercial
EMOZA,Sección de Cooperación Internacional y Ayuda Humanitaria
EMOZA,Jefe de Cancillería
EMOZA,Sección Cultural
EMSIA,Sección Consular
EMSIA,Sección Económica y Comercial
EMSIA,Sección Política
ENICA,SECCION CONSULAR
ENIGE,Sección Política
ENIGE,Sección Administrativa
ENIGE,Sección Económica y Comercial
ENIGE,Jefe de Cancillería
ENIGE,Asuntos Culturales y Prensa
ENIGE,Sección Consular Embajada Argentina en Nigeria
ENORU,Sección Consular
ENORU,Sección Cultural
ENORU,Sección Económica y Comercial
ENZEL,Sección Consular
ENZEL,Sección Económica y Comercial
ENZEL,Sección Política
EPAKI,Sección Económica
EPAKI,Sección Consular
EPBAJ,Sección Política/Jurídica
EPBAJ,Rep. Permanente OPAQ
EPBAJ,Sección Consular
EPBAJ,"Sección Económica y Comercial, Prensa y Turismo."
EPERU,Sección Administrativa
EPERU,Sección Política
EPERU,Agregaduria de Defensa y Aeronáutica
EPERU,Sección Económica y Comercial
EPERU,"Sección Cultural, Educación y Prensa"
EPERU,Jefe de Cancillería
EPERU,Sección de Cooperación Judicial y Asuntos de Género
EPNMA,Sección Económica y Comercial
EPNMA,Agregada Administrativa
EPNMA,Jefe de Cancillería
EPNMA,Sección Consular
EPOLO,Sección Comercial
EPOLO,Sección Consular de la Embajada de la República Argentina en la República de Polonia
EPOLO,Sección Cultural
EPORT,JEFE DE SECCIÓN ECONÓMICA Y COMERCIAL
EPORT,Agregado Administrativo
EPORT,JEFE DE SECCIÓN CULTURAL
EPORT,JEFE DE CANCILLERIA
EPORT,JEFE DE SECCIÓN CONSULAR
EQATR,Sección Política
EQATR,Seccion Administrativa
EQATR,Jefe de Cancillería
EQATR,Sección Comercial
EQATR,Sección Consular
ERICA,Sección Consular
ERICA,Sección Económica y Comercial
ERUMA,Sección Consular
ERUMA,Sección Económica y Comercial
ERUNI,Sección Cultural
ERUNI,Protocolo
ERUNI,Seccion Politica
ERUNI,Sección Política y Coordinación
ERUNI,"Agregaduría de Defensa, Militar, Naval y Fuerza Aérea"
ERUNI,Seccion Prensa
ERUNI,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
ERUNI,"Sección Económica, Comercial y Turismo"
ESAFR,Sección Administrativa
ESAFR,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
ESAFR,Sección Económica y Comercial
ESAFR,"Sección Cultural, Prensa y Diplomacia Pública"
ESALV,Sección Comercial e Inversiones
ESALV,Administrativa - Contable
ESALV,Prensa
ESALV,Cultural
ESALV,Sección Consular
ESERB,Sección Consular
ESERB,"Sección Cultural, Educación y Turismo"
ESERB,Sección Administrativa
ESERB,Sección Económica y Comercial
ESING,"Sección Económica, Comercial y de Inversiones"
ESING,Sección Política y Cultural
ESING,Sección Administrativa
ESING,Sección Consular
ESSED,Sección Cultura
ESSED,"Sección Prensa, Redes Sociales y Comunicación"
ESSED,"Sección Administración, Economato, Contabilidad e Inventario"
ESSED,Embajadora
ESSED,Jefa de Cancillería
ESSED,Jefa de Sección Secretaría y Despacho
ESUEC,Sección Política
ESUEC,Sección Consular
ESUEC,"Sección Económica, Comercial y de Promoción de Inversiones"
ESUEC,Sección Cultural y de Prensa
ESUIZ,Sección Política
ESUIZ,"Sección Económica, Comercial y de Inversiones"
ESUIZ,Sección Cultural
ESUIZ,Jefe de Cancillería
ESUIZ,Sección Consular
ESURI,Agregaduria de Defensa
ESURI,Sección Política
ESURI,Sección Consular
ESURI,Sección Económica y Comercial
ESURI,Sección Cultural
ESURI,Sección Administrativa
ETAIL,Agregado Administrativo
ETAIL,Sección Consular
ETAIL,Sección Económica y Comercial
