,País,Sede,Red Social,URL
65,REINO  DE  ESPAÑA,CMALL,Facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
66,REINO  DE  ESPAÑA,CTENE,Facebook,www.facebook.com/argentinaentenerife
67,REINO  DE  ESPAÑA,CVIGO,Facebook,facebook.com/ArgentinaenVigo
68,REINO  DE  ESPAÑA,CVIGO,Instagram,https://www.instagram.com/argenvigo/
69,REINO  DE  ESPAÑA,EESPA,Facebook,https://www.facebook.com/argenespa/
70,REINO  DE  ESPAÑA,EESPA,Instagram,https://www.instagram.com/argenespa/
71,REINO  DE  ESPAÑA,EESPA,Twitter,https://twitter.com/ARGenesp
72,REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,Facebook,https://www.facebook.com/ArgEnPaisesBajos/
73,REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,Twitter,https://twitter.com/ArgentinaEnPB
74,REINO  DE  MARRUECOS,EMARR,Instagram,https://www.instagram.com/marruecos.embajada/
75,REINO  DE  MARRUECOS,EMARR,Twitter,https://twitter.com/ArgMarruecos
76,REINO  DE  NORUEGA,ENORU,Facebook,https://www.facebook.com/ArgentinaEnNoruega/
77,REINO  DE  NORUEGA,ENORU,Instagram,https://www.instagram.com/ARGenNoruega/
78,REINO  DE  SUECIA,ESUEC,Facebook,https://www.facebook.com/arginsweden/
79,REINO  DE  SUECIA,ESUEC,Instagram,https://www.instagram.com/arginsweden/
80,REINO  DE  SUECIA,ESUEC,Linkedin,https://se.linkedin.com/showcase/arginsweden
81,REINO  DE  TAILANDIA,ETAIL,Facebook,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F
82,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,CLOND,Instagram,https://www.instagram.com/consuladoargentinoenlondres/
83,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Facebook,https://www.facebook.com/ARGinUK/
84,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Flickr,https://www.flickr.com/photos/138300767@N07/albums
85,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Instagram,https://www.instagram.com/arginuk/
86,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Twitter,https://twitter.com/ARGinUK
87,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Youtube,https://www.youtube.com/channel/UCzaGU10f-77SR56kini9-1g/videos?view_as=subscriber
88,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Facebook,facebook.com/ArgentinaEnArgelia
89,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Instagram,https://instagram.com/argenargelia
90,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Twitter,https://twitter.com/ARGenArgelia
91,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Facebook,https://www.facebook.com/EmbajadaArgentinaEnVenezuela
92,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Instagram,https://www.instagram.com/argenvenezuela/
93,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Twitter,https://twitter.com/argenvenezuela?lang=es
94,REPÚBLICA  CHECA,ECHES,Facebook,https://www.facebook.com/ArgentinaEnRepCheca/
95,REPÚBLICA  CHECA,ECHES,Instagram,https://www.instagram.com/argentinaenpraga
96,REPÚBLICA  DE  ANGOLA,EANGO,Facebook,https://www.facebook.com/ArgentinaEnAngola/
97,REPÚBLICA  DE  ANGOLA,EANGO,Instagram,https://www.instagram.com/embargentinaenangola/
98,REPÚBLICA  DE  ARMENIA,EARME,Facebook,https://www.facebook.com/ArgentinaEnArmenia
99,REPÚBLICA  DE  ARMENIA,EARME,Instagram,https://www.instagram.com/arginarmenia/
100,REPÚBLICA  DE  ARMENIA,EARME,Twitter,https://twitter.com/ARGinArmenia
101,REPÚBLICA  DE  AUSTRIA,ETRIA,Facebook,https://www.facebook.com/ArgentinaEnAustria/
102,REPÚBLICA  DE  AUSTRIA,ETRIA,Instagram,https://www.instagram.com/argenviena/
103,REPÚBLICA  DE  AUSTRIA,ETRIA,Twitter,https://twitter.com/ARGenViena
104,REPÚBLICA  DE  AZERBAIYÁN,EAZER,Facebook,https://www.facebook.com/EmbassyOfArgentina/
105,REPÚBLICA  DE  AZERBAIYÁN,EAZER,Instagram,www.instagram.com/embargentinaaz
106,REPÚBLICA  DE  AZERBAIYÁN,EAZER,Twitter,www.twitter.com/ARGEnAzer
107,REPÚBLICA  DE  BULGARIA,EBULG,Facebook,https://www.facebook.com/ArgentinaEnBulgaria/
108,REPÚBLICA  DE  BULGARIA,EBULG,Youtube,https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow
109,REPÚBLICA  DE  CHILE,CANTO,Facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
110,REPÚBLICA  DE  CHILE,CAREN,Facebook,https://www.facebook.com/profile.php?id=100014152878593
111,REPÚBLICA  DE  CHILE,CPMON,Facebook,https://www.facebook.com/ArgentinaEnPuertoMontt/
112,REPÚBLICA  DE  CHILE,CVALP,Facebook,https://www.facebook.com/ArgentinaEnValparaiso
113,REPÚBLICA  DE  CHILE,EHILE,Facebook,https://www.facebook.com/EmbArgentinaEnChile
114,REPÚBLICA  DE  CHILE,EHILE,Instagram,https://www.instagram.com/embargenchile/
115,REPÚBLICA  DE  CHILE,EHILE,Twitter,https://twitter.com/EmbArgEnChile
116,REPÚBLICA  DE  COLOMBIA,ECOLO,Facebook,https://www.facebook.com/ArgColombia/?ref=bookmarks
117,REPÚBLICA  DE  COREA,ECORE,Facebook,https://www.facebook.com/ArgentinaEnCorea/
118,REPÚBLICA  DE  COREA,ECORE,Instagram,https://www.instagram.com/embajadaargentinaencorea1/?hl=es
119,REPÚBLICA  DE  COSTA  RICA,ERICA,Facebook,https://www.facebook.com/argentinaencostarica/
120,REPÚBLICA  DE  CUBA,ECUBA,Facebook,https://www.facebook.com/ArgentinaEnCubaLaHabana/
121,REPÚBLICA  DE  EL  SALVADOR,ESALV,Facebook,https://www.facebook.com/ArgentinaEnElSalvador/
122,REPÚBLICA  DE  EL  SALVADOR,ESALV,Instagram,https://www.instagram.com/embargenelsalvador/
123,REPÚBLICA  DE  EL  SALVADOR,ESALV,Twitter,https://twitter.com/ARGenElSalvador
124,REPÚBLICA  DE  FILIPINAS,EFILI,Facebook,https://www.facebook.com/ArgentinaEnFilipinas
125,REPÚBLICA  DE  FILIPINAS,EFILI,Instagram,https://www.instagram.com/argentinaenfilipinas/
126,REPÚBLICA  DE  FILIPINAS,EFILI,Twitter,https://twitter.com/ArgentinaEnFili
127,REPÚBLICA  DE  FINLANDIA,EFINL,Facebook,www.facebook.com/ArgentinaEnFinlandia/
128,REPÚBLICA  DE  FINLANDIA,EFINL,Instagram,www.instagram.com/argenfinlandia/
129,REPÚBLICA  DE  KENYA,EKENY,Facebook,www.facebook.com/ArgentinaEnKenia
130,REPÚBLICA  DE  KENYA,EKENY,Instagram,https://www.instagram.com/argenkenya/
131,REPÚBLICA  DE  LA  INDIA,CGMUM,Facebook,https://www.facebook.com/argenmumbai
132,REPÚBLICA  DE  LA  INDIA,CGMUM,Instagram,https://www.instagram.com/argenmumbai
133,REPÚBLICA  DE  LA  INDIA,CGMUM,Twitter,https://twitter.com/cgmum1
134,REPÚBLICA  DE  LA  INDIA,EINDI,Facebook,https://www.facebook.com/ArgentinaEnInd
135,REPÚBLICA  DE  LA  INDIA,EINDI,Instagram,https://www.instagram.com/argentinaenind/
136,REPÚBLICA  DE  LA  INDIA,EINDI,Twitter,https://twitter.com/ArgentinaEnInd
137,REPÚBLICA  DE  MOZAMBIQUE,EMOZA,Facebook,https://www.facebook.com/ArgentinaEnMozambique/
138,REPÚBLICA  DE  POLONIA,EPOLO,Facebook,https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/
139,REPÚBLICA  DE  SERBIA,ESERB,Facebook,facebook.com/ArgentinaEnSerbia
140,REPÚBLICA  DE  SERBIA,ESERB,Instagram,instagram.com/ARGinSerbia
141,REPÚBLICA  DE  SINGAPUR,ESING,Instagram,https://instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=
142,REPÚBLICA  DE  SINGAPUR,ESING,Twitter,https://twitter.com/ARGinSingapore
143,REPÚBLICA  DE  SUDÁFRICA,ESAFR,Facebook,facebook.com/ArgenSudafrica
144,REPÚBLICA  DE  SUDÁFRICA,ESAFR,Instagram,https://www.instagram.com/argentinaensudafrica
145,REPÚBLICA  DE  SUDÁFRICA,ESAFR,Twitter,https://twitter.com/EmbArgentina
146,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,ETRIN,Facebook,www.facebook.com/ArgentinaEnTrinidadYTobago
147,REPÚBLICA  DEL  ECUADOR,EECUA,Facebook,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks
148,REPÚBLICA  DEL  ECUADOR,EECUA,Instagram,https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
149,REPÚBLICA  DEL  ECUADOR,EECUA,Youtube,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
150,REPÚBLICA  DEL  PARAGUAY,CCEST,Facebook,https://www.facebook.com/ArgEnCiudaddeleste/
151,REPÚBLICA  DEL  PARAGUAY,CCEST,Instagram,https://www.instagram.com/argenciudaddeleste
152,REPÚBLICA  DEL  PARAGUAY,EPARA,Facebook,https://www.facebook.com/embajada.paraguay
153,REPÚBLICA  DEL  PARAGUAY,EPARA,Twitter,https://twitter.com/argenparaguay_
154,REPÚBLICA  DEL  PERÚ,EPERU,Facebook,https://www.facebook.com/ArgentinaEnPeru
155,REPÚBLICA  DEL  PERÚ,EPERU,Twitter,https://twitter.com/Emb_Arg_Peru
156,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,EETIO,Facebook,https://www.facebook.com/ArgEnEtiopia/
157,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,EETIO,Instagram,https://www.instagram.com/embaargenetiopia/
